"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"1999"	"1999"	Suppressed	770	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2000"	"2000"	Suppressed	826	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2001"	"2001"	Suppressed	766	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2002"	"2002"	Suppressed	776	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2003"	"2003"	Suppressed	798	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2004"	"2004"	Suppressed	814	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2005"	"2005"	Suppressed	828	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2006"	"2006"	Suppressed	838	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2007"	"2007"	Suppressed	855	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2008"	"2008"	Suppressed	897	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2009"	"2009"	Suppressed	922	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2010"	"2010"	Suppressed	946	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2011"	"2011"	Suppressed	951	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2012"	"2012"	Suppressed	975	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2013"	"2013"	Suppressed	982	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2014"	"2014"	Suppressed	1003	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2015"	"2015"	Suppressed	1015	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2016"	"2016"	Suppressed	983	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2017"	"2017"	Suppressed	1015	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2018"	"2018"	Suppressed	971	Suppressed
"Total"	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"			Suppressed	17931	Suppressed
"Total"	"Alabama"	"01"	"30-34 years"	"30-34"					Suppressed	17931	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"1999"	"1999"	Suppressed	964	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2000"	"2000"	Suppressed	1042	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2001"	"2001"	Suppressed	1049	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2002"	"2002"	Suppressed	1003	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2003"	"2003"	Suppressed	966	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2004"	"2004"	Suppressed	938	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2005"	"2005"	Suppressed	942	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2006"	"2006"	Suppressed	890	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2007"	"2007"	Suppressed	899	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2008"	"2008"	Suppressed	930	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2009"	"2009"	Suppressed	982	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2010"	"2010"	Suppressed	994	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2011"	"2011"	Suppressed	959	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2012"	"2012"	Suppressed	934	Suppressed
