Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,1999,1999,Suppressed,763,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2000,2000,Suppressed,822,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2001,2001,Suppressed,801,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2002,2002,Suppressed,814,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2003,2003,Suppressed,827,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2004,2004,Suppressed,827,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2005,2005,Suppressed,882,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2006,2006,Suppressed,819,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2007,2007,Suppressed,788,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2008,2008,Suppressed,854,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2009,2009,Suppressed,896,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2010,2010,Suppressed,933,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2011,2011,Suppressed,927,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2012,2012,Suppressed,946,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2013,2013,Suppressed,916,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2014,2014,Suppressed,941,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2015,2015,Suppressed,956,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2016,2016,Suppressed,919,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2017,2017,Suppressed,919,Suppressed
,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,2018,2018,Suppressed,894,Suppressed
Total,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,Male,M,,,Suppressed,17444,Suppressed
Total,Alabama,1,30-34 years,30-34,American Indian or Alaskan Native,,,,,Suppressed,17444,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,1999,1999,Suppressed,888,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2000,2000,Suppressed,981,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2001,2001,Suppressed,962,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2002,2002,Suppressed,951,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2003,2003,Suppressed,925,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2004,2004,Suppressed,903,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2005,2005,Suppressed,840,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2006,2006,Suppressed,882,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2007,2007,Suppressed,937,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2008,2008,Suppressed,933,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2009,2009,Suppressed,949,Suppressed
,Alabama,1,35-39 years,35-39,American Indian or Alaskan Native,Male,M,2010,2010,Suppressed,943,Suppressed
