Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,1999,1999,Suppressed,1620,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2000,2000,Suppressed,1725,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2001,2001,Suppressed,1860,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2002,2002,Suppressed,2042,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2003,2003,Suppressed,2139,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2004,2004,Suppressed,2393,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2005,2005,Suppressed,2510,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2006,2006,Suppressed,2695,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2007,2007,Suppressed,2648,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2008,2008,Suppressed,2672,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2009,2009,Suppressed,2870,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2010,2010,Suppressed,2858,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2011,2011,Suppressed,2953,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2012,2012,Suppressed,3147,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2013,2013,Suppressed,3163,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2014,2014,Suppressed,3336,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2015,2015,Suppressed,3417,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2016,2016,Suppressed,3277,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2017,2017,Suppressed,3268,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Female,F,2018,2018,Suppressed,3227,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,1999,1999,Suppressed,1675,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2000,2000,Suppressed,1709,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2001,2001,Suppressed,1792,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2002,2002,Suppressed,1811,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2003,2003,Suppressed,1894,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2004,2004,Suppressed,1982,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2005,2005,Suppressed,2082,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2006,2006,Suppressed,2268,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2007,2007,Suppressed,2516,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2008,2008,Suppressed,2636,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2009,2009,Suppressed,2883,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2010,2010,Suppressed,2868,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2011,2011,Suppressed,2886,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2012,2012,Suppressed,2906,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2013,2013,Suppressed,3015,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2014,2014,Suppressed,3300,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2015,2015,Suppressed,3495,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2016,2016,Suppressed,3459,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2017,2017,Suppressed,3475,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Female,F,2018,2018,Suppressed,3489,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,1999,1999,Suppressed,1526,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2000,2000,Suppressed,1594,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2001,2001,Suppressed,1593,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2002,2002,Suppressed,1682,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2003,2003,Suppressed,1744,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2004,2004,Suppressed,1854,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2005,2005,Suppressed,1966,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2006,2006,Suppressed,2100,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2007,2007,Suppressed,2131,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2008,2008,Suppressed,2268,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2009,2009,Suppressed,2384,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2010,2010,Suppressed,2485,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2011,2011,Suppressed,2669,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2012,2012,Suppressed,2938,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2013,2013,Suppressed,3034,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2014,2014,Suppressed,3092,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2015,2015,Suppressed,3232,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2016,2016,Suppressed,3283,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2017,2017,Suppressed,3314,Suppressed
,Alabama,1,40-44 years,40-44,Asian or PI,Female,F,2018,2018,Suppressed,3342,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,1999,1999,Suppressed,1429,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2000,2000,Suppressed,1478,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2001,2001,Suppressed,1532,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2002,2002,Suppressed,1591,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2003,2003,Suppressed,1687,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2004,2004,Suppressed,1725,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2005,2005,Suppressed,1799,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2006,2006,Suppressed,1840,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2007,2007,Suppressed,1908,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2008,2008,Suppressed,1999,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2009,2009,Suppressed,2141,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2010,2010,Suppressed,2241,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2011,2011,Suppressed,2244,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2012,2012,Suppressed,2360,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2013,2013,Suppressed,2532,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2014,2014,Suppressed,2622,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2015,2015,Suppressed,2685,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2016,2016,Suppressed,2935,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2017,2017,Suppressed,3198,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Female,F,2018,2018,Suppressed,3345,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,1999,1999,Suppressed,1132,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2000,2000,Suppressed,1258,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2001,2001,Suppressed,1401,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2002,2002,Suppressed,1444,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2003,2003,Suppressed,1476,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2004,2004,Suppressed,1549,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2005,2005,Suppressed,1634,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2006,2006,Suppressed,1676,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2007,2007,Suppressed,1750,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2008,2008,Suppressed,1845,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2009,2009,Suppressed,1892,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2010,2010,Suppressed,1940,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2011,2011,Suppressed,1974,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2012,2012,Suppressed,2090,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2013,2013,Suppressed,2110,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2014,2014,Suppressed,2334,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2015,2015,Suppressed,2402,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2016,2016,Suppressed,2378,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2017,2017,Suppressed,2463,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Female,F,2018,2018,Suppressed,2642,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,1999,1999,Suppressed,701,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2000,2000,Suppressed,766,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2001,2001,Suppressed,881,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2002,2002,Suppressed,987,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2003,2003,Suppressed,1110,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2004,2004,Suppressed,1228,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2005,2005,Suppressed,1370,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2006,2006,Suppressed,1519,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2007,2007,Suppressed,1586,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2008,2008,Suppressed,1639,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2009,2009,Suppressed,1730,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2010,2010,Suppressed,1771,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2011,2011,Suppressed,1865,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2012,2012,Suppressed,1838,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2013,2013,Suppressed,1974,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2014,2014,Suppressed,2031,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2015,2015,Suppressed,2097,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2016,2016,Suppressed,2130,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2017,2017,Suppressed,2254,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2018,2018,Suppressed,2323,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,1999,1999,Suppressed,478,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2000,2000,Suppressed,514,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2001,2001,Suppressed,589,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2002,2002,Suppressed,637,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2003,2003,Suppressed,672,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2004,2004,Suppressed,748,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2005,2005,Suppressed,828,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2006,2006,Suppressed,905,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2007,2007,Suppressed,1033,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2008,2008,Suppressed,1167,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2009,2009,Suppressed,1287,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2010,2010,Suppressed,1369,Suppressed
