Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,1999,1999,Suppressed,1532,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2000,2000,Suppressed,1665,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2001,2001,Suppressed,1768,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2002,2002,Suppressed,1947,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2003,2003,Suppressed,2154,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2004,2004,Suppressed,2397,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2005,2005,Suppressed,2534,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2006,2006,Suppressed,2387,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2007,2007,Suppressed,2571,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2008,2008,Suppressed,2424,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2009,2009,Suppressed,2801,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2010,2010,Suppressed,2495,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2011,2011,Suppressed,2507,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2012,2012,Suppressed,2768,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2013,2013,Suppressed,2802,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2014,2014,Suppressed,2865,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2015,2015,Suppressed,2976,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2016,2016,Suppressed,3062,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2017,2017,Suppressed,2940,Suppressed
,Alabama,1,30-34 years,30-34,Asian or PI,Male,M,2018,2018,Suppressed,2913,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,1999,1999,Suppressed,1517,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2000,2000,Suppressed,1498,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2001,2001,Suppressed,1582,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2002,2002,Suppressed,1635,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2003,2003,Suppressed,1626,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2004,2004,Suppressed,1805,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2005,2005,Suppressed,1924,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2006,2006,Suppressed,2133,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2007,2007,Suppressed,2348,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2008,2008,Suppressed,2417,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2009,2009,Suppressed,2628,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2010,2010,Suppressed,2671,Suppressed
,Alabama,1,35-39 years,35-39,Asian or PI,Male,M,2011,2011,Suppressed,2613,Suppressed
