Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,30-34 years,30-34,Black,Female,F,1999,1999,Suppressed,42324,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2000,2000,Suppressed,42199,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2001,2001,Suppressed,42199,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2002,2002,Suppressed,42531,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2003,2003,Suppressed,42992,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2004,2004,Suppressed,43494,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2005,2005,Suppressed,43407,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2006,2006,Suppressed,43109,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2007,2007,Suppressed,43353,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2008,2008,Suppressed,43877,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2009,2009,Suppressed,44612,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2010,2010,Suppressed,45852,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2011,2011,Suppressed,47290,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2012,2012,Suppressed,48125,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2013,2013,Suppressed,48376,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2014,2014,Suppressed,48169,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2015,2015,Suppressed,47819,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2016,2016,Suppressed,47452,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2017,2017,Suppressed,46984,Suppressed
,Alabama,1,30-34 years,30-34,Black,Female,F,2018,2018,Suppressed,47511,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,1999,1999,Suppressed,47586,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2000,2000,Suppressed,47184,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2001,2001,Suppressed,46271,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2002,2002,Suppressed,44986,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2003,2003,Suppressed,43610,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2004,2004,Suppressed,42592,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2005,2005,Suppressed,42192,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2006,2006,Suppressed,42730,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2007,2007,Suppressed,43524,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2008,2008,Suppressed,44209,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2009,2009,Suppressed,44840,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2010,2010,Suppressed,44691,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2011,2011,Suppressed,43854,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2012,2012,Suppressed,43716,Suppressed
,Alabama,1,35-39 years,35-39,Black,Female,F,2013,2013,Suppressed,43837,Suppressed
