"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"1999"	"1999"	Suppressed	34931	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2000"	"2000"	Suppressed	34821	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2001"	"2001"	Suppressed	34582	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2002"	"2002"	Suppressed	34999	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2003"	"2003"	Suppressed	35431	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2004"	"2004"	Suppressed	35383	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2005"	"2005"	Suppressed	35257	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2006"	"2006"	Suppressed	35051	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2007"	"2007"	Suppressed	35218	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2008"	"2008"	Suppressed	35550	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2009"	"2009"	Suppressed	37054	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2010"	"2010"	Suppressed	38199	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2011"	"2011"	Suppressed	39577	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2012"	"2012"	Suppressed	40222	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2013"	"2013"	Suppressed	40882	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2014"	"2014"	Suppressed	40881	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2015"	"2015"	Suppressed	40482	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2016"	"2016"	Suppressed	40181	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2017"	"2017"	Suppressed	40185	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"2018"	"2018"	Suppressed	40786	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"1999"	"1999"	Suppressed	38868	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2000"	"2000"	Suppressed	38521	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2001"	"2001"	Suppressed	37896	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2002"	"2002"	Suppressed	36625	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2003"	"2003"	Suppressed	35473	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2004"	"2004"	Suppressed	34581	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2005"	"2005"	Suppressed	34272	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2006"	"2006"	Suppressed	34831	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2007"	"2007"	Suppressed	35647	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2008"	"2008"	Suppressed	36361	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2009"	"2009"	Suppressed	36677	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2010"	"2010"	Suppressed	36710	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2011"	"2011"	Suppressed	35785	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2012"	"2012"	Suppressed	35463	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2013"	"2013"	Suppressed	35893	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2014"	"2014"	Suppressed	36742	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2015"	"2015"	Suppressed	37850	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2016"	"2016"	Suppressed	38910	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2017"	"2017"	Suppressed	38918	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"2018"	"2018"	Suppressed	39127	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"1999"	"1999"	Suppressed	40140	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2000"	"2000"	Suppressed	40063	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2001"	"2001"	Suppressed	40100	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2002"	"2002"	Suppressed	39798	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2003"	"2003"	Suppressed	39560	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2004"	"2004"	Suppressed	39359	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2005"	"2005"	Suppressed	38793	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2006"	"2006"	Suppressed	38478	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2007"	"2007"	Suppressed	37573	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2008"	"2008"	Suppressed	36513	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2009"	"2009"	Suppressed	36079	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2010"	"2010"	Suppressed	35664	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2011"	"2011"	Suppressed	35463	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2012"	"2012"	Suppressed	36062	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2013"	"2013"	Suppressed	36340	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2014"	"2014"	Suppressed	36464	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2015"	"2015"	Suppressed	36347	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2016"	"2016"	Suppressed	35393	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2017"	"2017"	Suppressed	34944	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"2018"	"2018"	Suppressed	34806	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"1999"	"1999"	Suppressed	34631	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"2000"	"2000"	Suppressed	35779	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"2001"	"2001"	Suppressed	37069	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"2002"	"2002"	Suppressed	38228	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"2003"	"2003"	Suppressed	39052	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"2004"	"2004"	Suppressed	39480	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"2005"	"2005"	Suppressed	40133	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"2006"	"2006"	Suppressed	40421	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"2007"	"2007"	Suppressed	40298	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"2008"	"2008"	Suppressed	40125	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"2009"	"2009"	Suppressed	40024	Suppressed
