"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"1999"	"1999"	Suppressed	2339	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2000"	"2000"	Suppressed	2742	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2001"	"2001"	Suppressed	3272	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2002"	"2002"	Suppressed	3592	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2003"	"2003"	Suppressed	4217	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2004"	"2004"	Suppressed	4725	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2005"	"2005"	Suppressed	5257	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2006"	"2006"	Suppressed	5807	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2007"	"2007"	Suppressed	6461	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2008"	"2008"	Suppressed	6922	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2009"	"2009"	Suppressed	7455	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2010"	"2010"	Suppressed	7697	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2011"	"2011"	Suppressed	7924	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2012"	"2012"	Suppressed	8102	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2013"	"2013"	Suppressed	8099	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2014"	"2014"	Suppressed	8363	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2015"	"2015"	Suppressed	7896	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2016"	"2016"	Suppressed	7784	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2017"	"2017"	Suppressed	7768	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"2018"	"2018"	Suppressed	7664	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"1999"	"1999"	Suppressed	2127	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2000"	"2000"	Suppressed	2360	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2001"	"2001"	Suppressed	2648	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2002"	"2002"	Suppressed	2946	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2003"	"2003"	Suppressed	3193	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2004"	"2004"	Suppressed	3535	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2005"	"2005"	Suppressed	3918	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2006"	"2006"	Suppressed	4403	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2007"	"2007"	Suppressed	4750	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2008"	"2008"	Suppressed	5347	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2009"	"2009"	Suppressed	5800	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2010"	"2010"	Suppressed	6111	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2011"	"2011"	Suppressed	6431	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2012"	"2012"	Suppressed	6664	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2013"	"2013"	Suppressed	6867	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2014"	"2014"	Suppressed	7122	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2015"	"2015"	Suppressed	7337	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2016"	"2016"	Suppressed	7353	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2017"	"2017"	Suppressed	7450	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2018"	"2018"	Suppressed	7630	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"1999"	"1999"	Suppressed	1633	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2000"	"2000"	Suppressed	1907	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2001"	"2001"	Suppressed	2149	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2002"	"2002"	Suppressed	2342	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2003"	"2003"	Suppressed	2566	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2004"	"2004"	Suppressed	2805	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2005"	"2005"	Suppressed	3053	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2006"	"2006"	Suppressed	3297	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2007"	"2007"	Suppressed	3560	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2008"	"2008"	Suppressed	3783	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2009"	"2009"	Suppressed	4069	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2010"	"2010"	Suppressed	4315	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2011"	"2011"	Suppressed	4744	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2012"	"2012"	Suppressed	5021	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2013"	"2013"	Suppressed	5359	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2014"	"2014"	Suppressed	5851	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2015"	"2015"	Suppressed	6179	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2016"	"2016"	Suppressed	6219	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2017"	"2017"	Suppressed	6627	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2018"	"2018"	Suppressed	6887	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"1999"	"1999"	Suppressed	1184	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2000"	"2000"	Suppressed	1415	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2001"	"2001"	Suppressed	1608	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2002"	"2002"	Suppressed	1851	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2003"	"2003"	Suppressed	1987	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2004"	"2004"	Suppressed	2140	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2005"	"2005"	Suppressed	2412	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2006"	"2006"	Suppressed	2706	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2007"	"2007"	Suppressed	2900	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2008"	"2008"	Suppressed	3139	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2009"	"2009"	Suppressed	3335	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2010"	"2010"	Suppressed	3492	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2011"	"2011"	Suppressed	3681	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2012"	"2012"	Suppressed	3803	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2013"	"2013"	Suppressed	4057	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2014"	"2014"	Suppressed	4339	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2015"	"2015"	Suppressed	4450	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2016"	"2016"	Suppressed	4782	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2017"	"2017"	Suppressed	5061	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2018"	"2018"	Suppressed	5340	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"1999"	"1999"	Suppressed	949	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2000"	"2000"	Suppressed	1113	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2001"	"2001"	Suppressed	1222	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2002"	"2002"	Suppressed	1264	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2003"	"2003"	Suppressed	1383	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2004"	"2004"	Suppressed	1550	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2005"	"2005"	Suppressed	1689	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2006"	"2006"	Suppressed	1848	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2007"	"2007"	Suppressed	2080	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2008"	"2008"	Suppressed	2278	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2009"	"2009"	Suppressed	2469	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2010"	"2010"	Suppressed	2679	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2011"	"2011"	Suppressed	2931	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2012"	"2012"	Suppressed	3000	Suppressed
