Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,1999,1999,Suppressed,3858,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2000,2000,Suppressed,4307,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2001,2001,Suppressed,5009,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2002,2002,Suppressed,5775,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2003,2003,Suppressed,6524,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2004,2004,Suppressed,7169,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2005,2005,Suppressed,7858,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2006,2006,Suppressed,8735,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2007,2007,Suppressed,9197,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2008,2008,Suppressed,9819,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2009,2009,Suppressed,10620,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2010,2010,Suppressed,11030,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2011,2011,Suppressed,11380,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2012,2012,Suppressed,11357,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2013,2013,Suppressed,11456,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2014,2014,Suppressed,11159,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2015,2015,Suppressed,10681,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2016,2016,Suppressed,10205,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2017,2017,Suppressed,9877,Suppressed
,Alabama,1,30-34 years,30-34,Hispanic,Male,M,2018,2018,Suppressed,9534,Suppressed
Total,Alabama,1,30-34 years,30-34,Hispanic,Male,M,,,Suppressed,175550,Suppressed
Total,Alabama,1,30-34 years,30-34,Hispanic,,,,,Suppressed,175550,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,1999,1999,Suppressed,2755,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,2000,2000,Suppressed,3303,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,2001,2001,Suppressed,3780,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,2002,2002,Suppressed,4118,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,2003,2003,Suppressed,4566,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,2004,2004,Suppressed,5075,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,2005,2005,Suppressed,5586,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,2006,2006,Suppressed,6137,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,2007,2007,Suppressed,6849,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,2008,2008,Suppressed,7319,Suppressed
,Alabama,1,35-39 years,35-39,Hispanic,Male,M,2009,2009,Suppressed,8026,Suppressed
