"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"35-39 years"	"35-39"	"1999"	"1999"	"Female"	"F"	295	175011	168.56
	"Alabama"	"01"	"35-39 years"	"35-39"	"1999"	"1999"	"Male"	"M"	441	167921	262.62
	"Alabama"	"01"	"35-39 years"	"35-39"	"2000"	"2000"	"Female"	"F"	229	173708	131.83
	"Alabama"	"01"	"35-39 years"	"35-39"	"2000"	"2000"	"Male"	"M"	480	166592	288.13
	"Alabama"	"01"	"35-39 years"	"35-39"	"2001"	"2001"	"Female"	"F"	261	168957	154.48
	"Alabama"	"01"	"35-39 years"	"35-39"	"2001"	"2001"	"Male"	"M"	437	161913	269.90
	"Alabama"	"01"	"35-39 years"	"35-39"	"2002"	"2002"	"Female"	"F"	295	164153	179.71
	"Alabama"	"01"	"35-39 years"	"35-39"	"2002"	"2002"	"Male"	"M"	459	156961	292.43
	"Alabama"	"01"	"35-39 years"	"35-39"	"2003"	"2003"	"Female"	"F"	260	159449	163.06
	"Alabama"	"01"	"35-39 years"	"35-39"	"2003"	"2003"	"Male"	"M"	468	152711	306.46
	"Alabama"	"01"	"35-39 years"	"35-39"	"2004"	"2004"	"Female"	"F"	280	155830	179.68
	"Alabama"	"01"	"35-39 years"	"35-39"	"2004"	"2004"	"Male"	"M"	398	149728	265.82
	"Alabama"	"01"	"35-39 years"	"35-39"	"2005"	"2005"	"Female"	"F"	241	154736	155.75
	"Alabama"	"01"	"35-39 years"	"35-39"	"2005"	"2005"	"Male"	"M"	419	148720	281.74
	"Alabama"	"01"	"35-39 years"	"35-39"	"2006"	"2006"	"Female"	"F"	277	157188	176.22
	"Alabama"	"01"	"35-39 years"	"35-39"	"2006"	"2006"	"Male"	"M"	445	151475	293.78
	"Alabama"	"01"	"35-39 years"	"35-39"	"2007"	"2007"	"Female"	"F"	299	159044	188.00
	"Alabama"	"01"	"35-39 years"	"35-39"	"2007"	"2007"	"Male"	"M"	428	153426	278.96
	"Alabama"	"01"	"35-39 years"	"35-39"	"2008"	"2008"	"Female"	"F"	259	160006	161.87
	"Alabama"	"01"	"35-39 years"	"35-39"	"2008"	"2008"	"Male"	"M"	395	153863	256.72
	"Alabama"	"01"	"35-39 years"	"35-39"	"2009"	"2009"	"Female"	"F"	304	159486	190.61
	"Alabama"	"01"	"35-39 years"	"35-39"	"2009"	"2009"	"Male"	"M"	425	153311	277.21
	"Alabama"	"01"	"35-39 years"	"35-39"	"2010"	"2010"	"Female"	"F"	268	157352	170.32
	"Alabama"	"01"	"35-39 years"	"35-39"	"2010"	"2010"	"Male"	"M"	403	151078	266.75
	"Alabama"	"01"	"35-39 years"	"35-39"	"2011"	"2011"	"Female"	"F"	245	151554	161.66
	"Alabama"	"01"	"35-39 years"	"35-39"	"2011"	"2011"	"Male"	"M"	414	144329	286.84
	"Alabama"	"01"	"35-39 years"	"35-39"	"2012"	"2012"	"Female"	"F"	282	149864	188.17
	"Alabama"	"01"	"35-39 years"	"35-39"	"2012"	"2012"	"Male"	"M"	405	142261	284.69
	"Alabama"	"01"	"35-39 years"	"35-39"	"2013"	"2013"	"Female"	"F"	278	149455	186.01
	"Alabama"	"01"	"35-39 years"	"35-39"	"2013"	"2013"	"Male"	"M"	400	142291	281.11
	"Alabama"	"01"	"35-39 years"	"35-39"	"2014"	"2014"	"Female"	"F"	292	150784	193.65
	"Alabama"	"01"	"35-39 years"	"35-39"	"2014"	"2014"	"Male"	"M"	453	142893	317.02
	"Alabama"	"01"	"35-39 years"	"35-39"	"2015"	"2015"	"Female"	"F"	255	152578	167.13
