Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,30-34 years,30-34,Female,F,1999,1999,Suppressed,106046,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2000,2000,Suppressed,105657,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2001,2001,Suppressed,105165,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2002,2002,Suppressed,104248,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2003,2003,Suppressed,102860,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2004,2004,Suppressed,100674,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2005,2005,Suppressed,97726,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2006,2006,Suppressed,94084,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2007,2007,Suppressed,92274,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2008,2008,Suppressed,92014,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2009,2009,Suppressed,93056,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2010,2010,Suppressed,94111,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2011,2011,Suppressed,95777,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2012,2012,Suppressed,96208,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2013,2013,Suppressed,96459,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2014,2014,Suppressed,96904,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2015,2015,Suppressed,96592,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2016,2016,Suppressed,96401,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2017,2017,Suppressed,95517,Suppressed
,Alabama,1,30-34 years,30-34,Female,F,2018,2018,Suppressed,96108,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,1999,1999,Suppressed,122659,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2000,2000,Suppressed,121413,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2001,2001,Suppressed,117197,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2002,2002,Suppressed,113407,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2003,2003,Suppressed,109786,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2004,2004,Suppressed,106783,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2005,2005,Suppressed,105602,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2006,2006,Suppressed,106897,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2007,2007,Suppressed,107355,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2008,2008,Suppressed,106884,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2009,2009,Suppressed,104981,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2010,2010,Suppressed,102688,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2011,2011,Suppressed,97424,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2012,2012,Suppressed,95644,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2013,2013,Suppressed,94791,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2014,2014,Suppressed,94585,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2015,2015,Suppressed,94657,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2016,2016,Suppressed,95595,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2017,2017,Suppressed,95946,Suppressed
,Alabama,1,35-39 years,35-39,Female,F,2018,2018,Suppressed,96673,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,1999,1999,Suppressed,123592,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2000,2000,Suppressed,123661,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2001,2001,Suppressed,124336,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2002,2002,Suppressed,123291,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2003,2003,Suppressed,122009,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2004,2004,Suppressed,121286,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2005,2005,Suppressed,120141,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2006,2006,Suppressed,117477,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2007,2007,Suppressed,114393,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2008,2008,Suppressed,111128,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2009,2009,Suppressed,108511,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2010,2010,Suppressed,107342,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2011,2011,Suppressed,107630,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2012,2012,Suppressed,107576,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2013,2013,Suppressed,107424,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2014,2014,Suppressed,105171,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2015,2015,Suppressed,101892,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2016,2016,Suppressed,97381,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2017,2017,Suppressed,95218,Suppressed
,Alabama,1,40-44 years,40-44,Female,F,2018,2018,Suppressed,94476,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,1999,1999,Suppressed,114636,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2000,2000,Suppressed,115750,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2001,2001,Suppressed,117816,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2002,2002,Suppressed,119870,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2003,2003,Suppressed,121777,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2004,2004,Suppressed,122730,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2005,2005,Suppressed,123240,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2006,2006,Suppressed,124750,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2007,2007,Suppressed,124387,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2008,2008,Suppressed,123867,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2009,2009,Suppressed,123335,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2010,2010,Suppressed,122685,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2011,2011,Suppressed,118473,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2012,2012,Suppressed,114767,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2013,2013,Suppressed,111190,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2014,2014,Suppressed,108286,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2015,2015,Suppressed,107101,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2016,2016,Suppressed,107807,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2017,2017,Suppressed,107889,Suppressed
,Alabama,1,45-49 years,45-49,Female,F,2018,2018,Suppressed,107334,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,1999,1999,Suppressed,108417,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2000,2000,Suppressed,110714,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2001,2001,Suppressed,114933,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2002,2002,Suppressed,112751,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2003,2003,Suppressed,112432,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2004,2004,Suppressed,113659,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2005,2005,Suppressed,115591,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2006,2006,Suppressed,117818,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2007,2007,Suppressed,120509,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2008,2008,Suppressed,122799,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2009,2009,Suppressed,123871,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2010,2010,Suppressed,124447,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2011,2011,Suppressed,125071,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2012,2012,Suppressed,124181,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2013,2013,Suppressed,123639,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2014,2014,Suppressed,122912,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2015,2015,Suppressed,121294,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2016,2016,Suppressed,117671,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2017,2017,Suppressed,113775,Suppressed
,Alabama,1,50-54 years,50-54,Female,F,2018,2018,Suppressed,110332,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,1999,1999,Suppressed,90895,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2000,2000,Suppressed,92567,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2001,2001,Suppressed,94363,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2002,2002,Suppressed,101009,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2003,2003,Suppressed,103769,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2004,2004,Suppressed,107344,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2005,2005,Suppressed,111230,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2006,2006,Suppressed,115126,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2007,2007,Suppressed,113399,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2008,2008,Suppressed,113464,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2009,2009,Suppressed,114707,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2010,2010,Suppressed,116040,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2011,2011,Suppressed,118414,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2012,2012,Suppressed,120216,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2013,2013,Suppressed,122012,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2014,2014,Suppressed,121957,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2015,2015,Suppressed,122224,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2016,2016,Suppressed,122769,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2017,2017,Suppressed,122049,Suppressed
,Alabama,1,55-59 years,55-59,Female,F,2018,2018,Suppressed,121410,Suppressed
,Alabama,1,60-64 years ,60-64,Female,F,1999,1999,Suppressed,79731,Suppressed
,Alabama,1,60-64 years ,60-64,Female,F,2000,2000,Suppressed,79504,Suppressed
,Alabama,1,60-64 years ,60-64,Female,F,2001,2001,Suppressed,80899,Suppressed
,Alabama,1,60-64 years ,60-64,Female,F,2002,2002,Suppressed,82966,Suppressed
,Alabama,1,60-64 years ,60-64,Female,F,2003,2003,Suppressed,86542,Suppressed
,Alabama,1,60-64 years ,60-64,Female,F,2004,2004,Suppressed,89120,Suppressed
,Alabama,1,60-64 years ,60-64,Female,F,2005,2005,Suppressed,91345,Suppressed
,Alabama,1,60-64 years ,60-64,Female,F,2006,2006,Suppressed,93540,Suppressed
