"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"30-34 years"	"30-34"	"1999"	"1999"	"White"	"2106-3"	"Female"	"F"	Suppressed	106046	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2000"	"2000"	"White"	"2106-3"	"Female"	"F"	Suppressed	105657	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2001"	"2001"	"White"	"2106-3"	"Female"	"F"	Suppressed	105165	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2002"	"2002"	"White"	"2106-3"	"Female"	"F"	Suppressed	104248	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2003"	"2003"	"White"	"2106-3"	"Female"	"F"	Suppressed	102860	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2004"	"2004"	"White"	"2106-3"	"Female"	"F"	Suppressed	100674	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2005"	"2005"	"White"	"2106-3"	"Female"	"F"	Suppressed	97726	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2006"	"2006"	"White"	"2106-3"	"Female"	"F"	Suppressed	94084	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2007"	"2007"	"White"	"2106-3"	"Female"	"F"	Suppressed	92274	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2008"	"2008"	"White"	"2106-3"	"Female"	"F"	Suppressed	92014	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	Suppressed	93056	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2010"	"2010"	"White"	"2106-3"	"Female"	"F"	Suppressed	94111	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2011"	"2011"	"White"	"2106-3"	"Female"	"F"	Suppressed	95777	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2012"	"2012"	"White"	"2106-3"	"Female"	"F"	Suppressed	96208	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2013"	"2013"	"White"	"2106-3"	"Female"	"F"	Suppressed	96459	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2014"	"2014"	"White"	"2106-3"	"Female"	"F"	Suppressed	96904	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2015"	"2015"	"White"	"2106-3"	"Female"	"F"	Suppressed	96592	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"White"	"2106-3"	"Female"	"F"	Suppressed	96401	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"White"	"2106-3"	"Female"	"F"	Suppressed	95517	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"White"	"2106-3"	"Female"	"F"	Suppressed	96108	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"1999"	"1999"	"White"	"2106-3"	"Female"	"F"	Suppressed	122659	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2000"	"2000"	"White"	"2106-3"	"Female"	"F"	Suppressed	121413	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2001"	"2001"	"White"	"2106-3"	"Female"	"F"	Suppressed	117197	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2002"	"2002"	"White"	"2106-3"	"Female"	"F"	Suppressed	113407	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2003"	"2003"	"White"	"2106-3"	"Female"	"F"	Suppressed	109786	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2004"	"2004"	"White"	"2106-3"	"Female"	"F"	Suppressed	106783	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2005"	"2005"	"White"	"2106-3"	"Female"	"F"	Suppressed	105602	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2006"	"2006"	"White"	"2106-3"	"Female"	"F"	Suppressed	106897	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2007"	"2007"	"White"	"2106-3"	"Female"	"F"	Suppressed	107355	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2008"	"2008"	"White"	"2106-3"	"Female"	"F"	Suppressed	106884	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	Suppressed	104981	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2010"	"2010"	"White"	"2106-3"	"Female"	"F"	Suppressed	102688	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2011"	"2011"	"White"	"2106-3"	"Female"	"F"	Suppressed	97424	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2012"	"2012"	"White"	"2106-3"	"Female"	"F"	Suppressed	95644	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2013"	"2013"	"White"	"2106-3"	"Female"	"F"	Suppressed	94791	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2014"	"2014"	"White"	"2106-3"	"Female"	"F"	Suppressed	94585	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2015"	"2015"	"White"	"2106-3"	"Female"	"F"	Suppressed	94657	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2016"	"2016"	"White"	"2106-3"	"Female"	"F"	Suppressed	95595	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2017"	"2017"	"White"	"2106-3"	"Female"	"F"	Suppressed	95946	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018"	"2018"	"White"	"2106-3"	"Female"	"F"	Suppressed	96673	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"1999"	"1999"	"White"	"2106-3"	"Female"	"F"	Suppressed	123592	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2000"	"2000"	"White"	"2106-3"	"Female"	"F"	Suppressed	123661	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2001"	"2001"	"White"	"2106-3"	"Female"	"F"	Suppressed	124336	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2002"	"2002"	"White"	"2106-3"	"Female"	"F"	Suppressed	123291	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2003"	"2003"	"White"	"2106-3"	"Female"	"F"	Suppressed	122009	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2004"	"2004"	"White"	"2106-3"	"Female"	"F"	Suppressed	121286	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2005"	"2005"	"White"	"2106-3"	"Female"	"F"	Suppressed	120141	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2006"	"2006"	"White"	"2106-3"	"Female"	"F"	Suppressed	117477	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2007"	"2007"	"White"	"2106-3"	"Female"	"F"	Suppressed	114393	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2008"	"2008"	"White"	"2106-3"	"Female"	"F"	Suppressed	111128	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	Suppressed	108511	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2010"	"2010"	"White"	"2106-3"	"Female"	"F"	Suppressed	107342	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2011"	"2011"	"White"	"2106-3"	"Female"	"F"	Suppressed	107630	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2012"	"2012"	"White"	"2106-3"	"Female"	"F"	Suppressed	107576	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2013"	"2013"	"White"	"2106-3"	"Female"	"F"	Suppressed	107424	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2014"	"2014"	"White"	"2106-3"	"Female"	"F"	Suppressed	105171	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2015"	"2015"	"White"	"2106-3"	"Female"	"F"	Suppressed	101892	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2016"	"2016"	"White"	"2106-3"	"Female"	"F"	Suppressed	97381	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2017"	"2017"	"White"	"2106-3"	"Female"	"F"	Suppressed	95218	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2018"	"2018"	"White"	"2106-3"	"Female"	"F"	Suppressed	94476	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"1999"	"1999"	"White"	"2106-3"	"Female"	"F"	Suppressed	114636	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2000"	"2000"	"White"	"2106-3"	"Female"	"F"	Suppressed	115750	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2001"	"2001"	"White"	"2106-3"	"Female"	"F"	Suppressed	117816	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2002"	"2002"	"White"	"2106-3"	"Female"	"F"	Suppressed	119870	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2003"	"2003"	"White"	"2106-3"	"Female"	"F"	Suppressed	121777	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2004"	"2004"	"White"	"2106-3"	"Female"	"F"	Suppressed	122730	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2005"	"2005"	"White"	"2106-3"	"Female"	"F"	Suppressed	123240	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2006"	"2006"	"White"	"2106-3"	"Female"	"F"	Suppressed	124750	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2007"	"2007"	"White"	"2106-3"	"Female"	"F"	Suppressed	124387	Suppressed
