Notes,State,Five-Year Age Groups Code,Gender ,Ethnicity,Year,Deaths,Population,Crude Rate
,Alabama,35-39,Male,White,1999,Suppressed,123893,Suppressed
,Alabama,35-39,Male,White,2000,Suppressed,122289,Suppressed
,Alabama,35-39,Male,White,2001,Suppressed,117693,Suppressed
,Alabama,35-39,Male,White,2002,Suppressed,113632,Suppressed
,Alabama,35-39,Male,White,2003,Suppressed,110121,Suppressed
,Alabama,35-39,Male,White,2004,Suppressed,107364,Suppressed
,Alabama,35-39,Male,White,2005,Suppressed,106098,Suppressed
,Alabama,35-39,Male,White,2006,Suppressed,107492,Suppressed
,Alabama,35-39,Male,White,2007,Suppressed,107645,Suppressed
,Alabama,35-39,Male,White,2008,Suppressed,106833,Suppressed
,Alabama,35-39,Male,White,2009,Suppressed,105031,Suppressed
,Alabama,35-39,Male,White,2010,Suppressed,102491,Suppressed
,Alabama,35-39,Male,White,2011,Suppressed,96432,Suppressed
,Alabama,35-39,Male,White,2012,Suppressed,94395,Suppressed
,Alabama,35-39,Male,White,2013,Suppressed,93478,Suppressed
,Alabama,35-39,Male,White,2014,Suppressed,93061,Suppressed
,Alabama,35-39,Male,White,2015,Suppressed,93486,Suppressed
,Alabama,35-39,Male,White,2016,Suppressed,94477,Suppressed
,Alabama,35-39,Male,White,2017,Suppressed,94514,Suppressed
,Alabama,35-39,Male,White,2018,Suppressed,94778,Suppressed
,Alabama,40-44,Male,White,1999,Suppressed,123428,Suppressed
,Alabama,40-44,Male,White,2000,Suppressed,123609,Suppressed
,Alabama,40-44,Male,White,2001,Suppressed,123933,Suppressed
,Alabama,40-44,Male,White,2002,Suppressed,123015,Suppressed
,Alabama,40-44,Male,White,2003,Suppressed,122009,Suppressed
,Alabama,40-44,Male,White,2004,Suppressed,121636,Suppressed
,Alabama,40-44,Male,White,2005,Suppressed,119957,Suppressed
,Alabama,40-44,Male,White,2006,Suppressed,117337,Suppressed
,Alabama,40-44,Male,White,2007,Suppressed,114279,Suppressed
,Alabama,40-44,Male,White,2008,Suppressed,111134,Suppressed
,Alabama,40-44,Male,White,2009,Suppressed,109307,Suppressed
,Alabama,40-44,Male,White,2010,Suppressed,107658,Suppressed
,Alabama,40-44,Male,White,2011,Suppressed,107485,Suppressed
,Alabama,40-44,Male,White,2012,Suppressed,107417,Suppressed
,Alabama,40-44,Male,White,2013,Suppressed,106790,Suppressed
,Alabama,40-44,Male,White,2014,Suppressed,104292,Suppressed
,Alabama,40-44,Male,White,2015,Suppressed,100588,Suppressed
,Alabama,40-44,Male,White,2016,Suppressed,96343,Suppressed
,Alabama,40-44,Male,White,2017,Suppressed,93552,Suppressed
,Alabama,40-44,Male,White,2018,Suppressed,92551,Suppressed
,Alabama,45-49,Male,White,1999,Suppressed,112477,Suppressed
,Alabama,45-49,Male,White,2000,Suppressed,113665,Suppressed
,Alabama,45-49,Male,White,2001,Suppressed,116028,Suppressed
,Alabama,45-49,Male,White,2002,Suppressed,118267,Suppressed
,Alabama,45-49,Male,White,2003,Suppressed,120043,Suppressed
,Alabama,45-49,Male,White,2004,Suppressed,120753,Suppressed
,Alabama,45-49,Male,White,2005,Suppressed,121885,Suppressed
,Alabama,45-49,Male,White,2006,Suppressed,123016,Suppressed
,Alabama,45-49,Male,White,2007,Suppressed,122855,Suppressed
,Alabama,45-49,Male,White,2008,Suppressed,122556,Suppressed
,Alabama,45-49,Male,White,2009,Suppressed,122967,Suppressed
,Alabama,45-49,Male,White,2010,Suppressed,121900,Suppressed
,Alabama,45-49,Male,White,2011,Suppressed,117399,Suppressed
,Alabama,45-49,Male,White,2012,Suppressed,113539,Suppressed
,Alabama,45-49,Male,White,2013,Suppressed,110236,Suppressed
,Alabama,45-49,Male,White,2014,Suppressed,107566,Suppressed
,Alabama,45-49,Male,White,2015,Suppressed,106334,Suppressed
,Alabama,45-49,Male,White,2016,Suppressed,107433,Suppressed
,Alabama,45-49,Male,White,2017,Suppressed,107229,Suppressed
,Alabama,45-49,Male,White,2018,Suppressed,105896,Suppressed
,Alabama,50-54,Male,White,1999,Suppressed,105183,Suppressed
,Alabama,50-54,Male,White,2000,Suppressed,107891,Suppressed
,Alabama,50-54,Male,White,2001,Suppressed,112372,Suppressed
,Alabama,50-54,Male,White,2002,Suppressed,109962,Suppressed
,Alabama,50-54,Male,White,2003,Suppressed,109861,Suppressed
,Alabama,50-54,Male,White,2004,Suppressed,110707,Suppressed
,Alabama,50-54,Male,White,2005,Suppressed,112734,Suppressed
,Alabama,50-54,Male,White,2006,Suppressed,115100,Suppressed
,Alabama,50-54,Male,White,2007,Suppressed,117951,Suppressed
,Alabama,50-54,Male,White,2008,Suppressed,120067,Suppressed
,Alabama,50-54,Male,White,2009,Suppressed,121230,Suppressed
,Alabama,50-54,Male,White,2010,Suppressed,122178,Suppressed
,Alabama,50-54,Male,White,2011,Suppressed,122145,Suppressed
,Alabama,50-54,Male,White,2012,Suppressed,121387,Suppressed
,Alabama,50-54,Male,White,2013,Suppressed,120963,Suppressed
,Alabama,50-54,Male,White,2014,Suppressed,120496,Suppressed
,Alabama,50-54,Male,White,2015,Suppressed,118442,Suppressed
,Alabama,50-54,Male,White,2016,Suppressed,115386,Suppressed
,Alabama,50-54,Male,White,2017,Suppressed,111596,Suppressed
,Alabama,50-54,Male,White,2018,Suppressed,108253,Suppressed
,Alabama,55-59,Male,White,1999,Suppressed,85483,Suppressed
,Alabama,55-59,Male,White,2000,Suppressed,87032,Suppressed
,Alabama,55-59,Male,White,2001,Suppressed,88789,Suppressed
,Alabama,55-59,Male,White,2002,Suppressed,95703,Suppressed
,Alabama,55-59,Male,White,2003,Suppressed,98854,Suppressed
,Alabama,55-59,Male,White,2004,Suppressed,102307,Suppressed
,Alabama,55-59,Male,White,2005,Suppressed,106202,Suppressed
,Alabama,55-59,Male,White,2006,Suppressed,110060,Suppressed
,Alabama,55-59,Male,White,2007,Suppressed,108309,Suppressed
,Alabama,55-59,Male,White,2008,Suppressed,108232,Suppressed
,Alabama,55-59,Male,White,2009,Suppressed,109016,Suppressed
,Alabama,55-59,Male,White,2010,Suppressed,110344,Suppressed
,Alabama,55-59,Male,White,2011,Suppressed,112769,Suppressed
,Alabama,55-59,Male,White,2012,Suppressed,114729,Suppressed
,Alabama,55-59,Male,White,2013,Suppressed,116391,Suppressed
,Alabama,55-59,Male,White,2014,Suppressed,116782,Suppressed
,Alabama,55-59,Male,White,2015,Suppressed,117256,Suppressed
,Alabama,55-59,Male,White,2016,Suppressed,117661,Suppressed
,Alabama,55-59,Male,White,2017,Suppressed,117131,Suppressed
,Alabama,55-59,Male,White,2018,Suppressed,116809,Suppressed
,Alabama,60-64,Male,White,1999,Suppressed,72303,Suppressed
,Alabama,60-64,Male,White,2000,Suppressed,72195,Suppressed
,Alabama,60-64,Male,White,2001,Suppressed,73704,Suppressed
,Alabama,60-64,Male,White,2002,Suppressed,75794,Suppressed
,Alabama,60-64,Male,White,2003,Suppressed,79223,Suppressed
,Alabama,60-64,Male,White,2004,Suppressed,82362,Suppressed
,Alabama,60-64,Male,White,2005,Suppressed,84096,Suppressed
,Alabama,60-64,Male,White,2006,Suppressed,85851,Suppressed
,Alabama,60-64,Male,White,2007,Suppressed,92657,Suppressed
,Alabama,60-64,Male,White,2008,Suppressed,96097,Suppressed
,Alabama,60-64,Male,White,2009,Suppressed,99393,Suppressed
,Alabama,60-64,Male,White,2010,Suppressed,102369,Suppressed
,Alabama,60-64,Male,White,2011,Suppressed,106215,Suppressed
,Alabama,60-64,Male,White,2012,Suppressed,103681,Suppressed
,Alabama,60-64,Male,White,2013,Suppressed,102975,Suppressed
,Alabama,60-64,Male,White,2014,Suppressed,103586,Suppressed
,Alabama,60-64,Male,White,2015,Suppressed,105133,Suppressed
,Alabama,60-64,Male,White,2016,Suppressed,106763,Suppressed
,Alabama,60-64,Male,White,2017,Suppressed,108633,Suppressed
,Alabama,60-64,Male,White,2018,Suppressed,110050,Suppressed
,Alabama,65-69,Male,White,1999,Suppressed,62159,Suppressed
,Alabama,65-69,Male,White,2000,11,62551,Unreliable
,Alabama,65-69,Male,White,2001,13,63258,Unreliable
,Alabama,65-69,Male,White,2002,Suppressed,63698,Suppressed
,Alabama,65-69,Male,White,2003,Suppressed,64896,Suppressed
,Alabama,65-69,Male,White,2004,10,66004,Unreliable
,Alabama,65-69,Male,White,2005,Suppressed,67353,Suppressed
,Alabama,65-69,Male,White,2006,Suppressed,69392,Suppressed
,Alabama,65-69,Male,White,2007,Suppressed,71447,Suppressed
,Alabama,65-69,Male,White,2008,11,74818,Unreliable
,Alabama,65-69,Male,White,2009,Suppressed,77765,Suppressed
,Alabama,65-69,Male,White,2010,11,79051,Unreliable
,Alabama,65-69,Male,White,2011,12,80517,Unreliable
,Alabama,65-69,Male,White,2012,15,87202,Unreliable
,Alabama,65-69,Male,White,2013,12,89695,Unreliable
,Alabama,65-69,Male,White,2014,16,92538,Unreliable
,Alabama,65-69,Male,White,2015,18,95121,Unreliable
,Alabama,65-69,Male,White,2016,22,97790,22.5
,Alabama,65-69,Male,White,2017,22,95124,23.13
,Alabama,65-69,Male,White,2018,17,94604,Unreliable
,Alabama,70-74,Male,White,1999,21,52104,40.3
,Alabama,70-74,Male,White,2000,23,52413,43.88
,Alabama,70-74,Male,White,2001,15,52899,Unreliable
,Alabama,70-74,Male,White,2002,25,52786,47.36
,Alabama,70-74,Male,White,2003,24,52940,45.33
,Alabama,70-74,Male,White,2004,27,53120,50.83
,Alabama,70-74,Male,White,2005,35,54249,64.52
,Alabama,70-74,Male,White,2006,26,55443,46.9
,Alabama,70-74,Male,White,2007,33,55795,59.15
,Alabama,70-74,Male,White,2008,14,56925,Unreliable
,Alabama,70-74,Male,White,2009,25,58142,43
,Alabama,70-74,Male,White,2010,32,59025,54.21
,Alabama,70-74,Male,White,2011,18,60735,Unreliable
,Alabama,70-74,Male,White,2012,24,62724,38.26
,Alabama,70-74,Male,White,2013,24,66028,36.35
,Alabama,70-74,Male,White,2014,37,68257,54.21
,Alabama,70-74,Male,White,2015,45,69772,64.5
,Alabama,70-74,Male,White,2016,46,70811,64.96
,Alabama,70-74,Male,White,2017,57,76683,74.33
,Alabama,70-74,Male,White,2018,43,79151,54.33
,Alabama,75-79,Male,White,1999,42,38229,109.86
,Alabama,75-79,Male,White,2000,40,38210,104.68
,Alabama,75-79,Male,White,2001,41,38542,106.38
,Alabama,75-79,Male,White,2002,47,39271,119.68
,Alabama,75-79,Male,White,2003,70,40108,174.53
,Alabama,75-79,Male,White,2004,51,40315,126.5
,Alabama,75-79,Male,White,2005,74,40952,180.7
,Alabama,75-79,Male,White,2006,61,41622,146.56
,Alabama,75-79,Male,White,2007,62,41982,147.68
,Alabama,75-79,Male,White,2008,64,42350,151.12
,Alabama,75-79,Male,White,2009,40,42714,93.65
,Alabama,75-79,Male,White,2010,50,43283,115.52
,Alabama,75-79,Male,White,2011,61,44201,138.01
,Alabama,75-79,Male,White,2012,40,44934,89.02
,Alabama,75-79,Male,White,2013,56,46027,121.67
,Alabama,75-79,Male,White,2014,70,47409,147.65
,Alabama,75-79,Male,White,2015,75,48248,155.45
,Alabama,75-79,Male,White,2016,89,49426,180.07
,Alabama,75-79,Male,White,2017,72,50961,141.28
,Alabama,75-79,Male,White,2018,102,54012,188.85
,Alabama,80-84,Male,White,1999,68,21670,313.8
,Alabama,80-84,Male,White,2000,56,22129,253.06
,Alabama,80-84,Male,White,2001,75,23186,323.47
,Alabama,80-84,Male,White,2002,69,23875,289.01
,Alabama,80-84,Male,White,2003,86,24487,351.21
,Alabama,80-84,Male,White,2004,103,25153,409.49
,Alabama,80-84,Male,White,2005,98,25559,383.43
,Alabama,80-84,Male,White,2006,100,26139,382.57
,Alabama,80-84,Male,White,2007,98,26963,363.46
,Alabama,80-84,Male,White,2008,101,27698,364.65
,Alabama,80-84,Male,White,2009,107,28128,380.4
,Alabama,80-84,Male,White,2010,117,28412,411.8
,Alabama,80-84,Male,White,2011,83,29068,285.54
,Alabama,80-84,Male,White,2012,80,29547,270.76
,Alabama,80-84,Male,White,2013,70,30127,232.35
,Alabama,80-84,Male,White,2014,110,30586,359.64
,Alabama,80-84,Male,White,2015,130,31107,417.91
,Alabama,80-84,Male,White,2016,131,31727,412.9
,Alabama,80-84,Male,White,2017,141,31887,442.19
,Alabama,80-84,Male,White,2018,153,33032,463.19
,Alabama,85-89,Male,White,1999,51,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2000,43,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2001,70,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2002,78,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2003,77,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2004,73,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2005,97,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2006,87,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2007,96,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2008,100,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2009,111,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2010,100,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2011,105,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2012,91,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2013,98,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2014,110,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2015,154,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2016,167,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2017,174,Not Applicable,Not Applicable
,Alabama,85-89,Male,White,2018,165,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,1999,14,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2000,24,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2001,30,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2002,42,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2003,28,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2004,38,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2005,46,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2006,62,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2007,63,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2008,54,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2009,49,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2010,56,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2011,69,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2012,60,Not Applicable,Not Applicable
,Alabama,90-94,Male,White,2013,57,Not Applicable,Not Applicable
