"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"30-34 years"	"30-34"	"1999"	"1999"	"White"	"2106-3"	"Male"	"M"	Suppressed	107112	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2000"	"2000"	"White"	"2106-3"	"Male"	"M"	Suppressed	107055	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2001"	"2001"	"White"	"2106-3"	"Male"	"M"	Suppressed	106764	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2002"	"2002"	"White"	"2106-3"	"Male"	"M"	Suppressed	105944	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2003"	"2003"	"White"	"2106-3"	"Male"	"M"	Suppressed	104780	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2004"	"2004"	"White"	"2106-3"	"Male"	"M"	Suppressed	102020	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2005"	"2005"	"White"	"2106-3"	"Male"	"M"	Suppressed	99004	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2006"	"2006"	"White"	"2106-3"	"Male"	"M"	Suppressed	94723	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2007"	"2007"	"White"	"2106-3"	"Male"	"M"	Suppressed	92668	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2008"	"2008"	"White"	"2106-3"	"Male"	"M"	Suppressed	92243	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	Suppressed	93066	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2010"	"2010"	"White"	"2106-3"	"Male"	"M"	Suppressed	93767	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2011"	"2011"	"White"	"2106-3"	"Male"	"M"	Suppressed	95229	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2012"	"2012"	"White"	"2106-3"	"Male"	"M"	Suppressed	95752	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2013"	"2013"	"White"	"2106-3"	"Male"	"M"	Suppressed	96306	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2014"	"2014"	"White"	"2106-3"	"Male"	"M"	Suppressed	96115	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2015"	"2015"	"White"	"2106-3"	"Male"	"M"	Suppressed	95688	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"White"	"2106-3"	"Male"	"M"	Suppressed	95088	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"White"	"2106-3"	"Male"	"M"	Suppressed	93678	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"White"	"2106-3"	"Male"	"M"	Suppressed	93918	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"1999"	"1999"	"White"	"2106-3"	"Male"	"M"	Suppressed	123893	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2000"	"2000"	"White"	"2106-3"	"Male"	"M"	Suppressed	122289	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2001"	"2001"	"White"	"2106-3"	"Male"	"M"	Suppressed	117693	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2002"	"2002"	"White"	"2106-3"	"Male"	"M"	Suppressed	113632	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2003"	"2003"	"White"	"2106-3"	"Male"	"M"	Suppressed	110121	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2004"	"2004"	"White"	"2106-3"	"Male"	"M"	Suppressed	107364	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2005"	"2005"	"White"	"2106-3"	"Male"	"M"	Suppressed	106098	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2006"	"2006"	"White"	"2106-3"	"Male"	"M"	Suppressed	107492	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2007"	"2007"	"White"	"2106-3"	"Male"	"M"	Suppressed	107645	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2008"	"2008"	"White"	"2106-3"	"Male"	"M"	Suppressed	106833	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	Suppressed	105031	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2010"	"2010"	"White"	"2106-3"	"Male"	"M"	Suppressed	102491	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2011"	"2011"	"White"	"2106-3"	"Male"	"M"	Suppressed	96432	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2012"	"2012"	"White"	"2106-3"	"Male"	"M"	Suppressed	94395	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2013"	"2013"	"White"	"2106-3"	"Male"	"M"	Suppressed	93478	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2014"	"2014"	"White"	"2106-3"	"Male"	"M"	Suppressed	93061	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2015"	"2015"	"White"	"2106-3"	"Male"	"M"	Suppressed	93486	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2016"	"2016"	"White"	"2106-3"	"Male"	"M"	Suppressed	94477	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2017"	"2017"	"White"	"2106-3"	"Male"	"M"	Suppressed	94514	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018"	"2018"	"White"	"2106-3"	"Male"	"M"	Suppressed	94778	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"1999"	"1999"	"White"	"2106-3"	"Male"	"M"	Suppressed	123428	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2000"	"2000"	"White"	"2106-3"	"Male"	"M"	Suppressed	123609	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2001"	"2001"	"White"	"2106-3"	"Male"	"M"	Suppressed	123933	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2002"	"2002"	"White"	"2106-3"	"Male"	"M"	Suppressed	123015	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2003"	"2003"	"White"	"2106-3"	"Male"	"M"	Suppressed	122009	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2004"	"2004"	"White"	"2106-3"	"Male"	"M"	Suppressed	121636	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2005"	"2005"	"White"	"2106-3"	"Male"	"M"	Suppressed	119957	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2006"	"2006"	"White"	"2106-3"	"Male"	"M"	Suppressed	117337	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2007"	"2007"	"White"	"2106-3"	"Male"	"M"	Suppressed	114279	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2008"	"2008"	"White"	"2106-3"	"Male"	"M"	Suppressed	111134	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	Suppressed	109307	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2010"	"2010"	"White"	"2106-3"	"Male"	"M"	Suppressed	107658	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2011"	"2011"	"White"	"2106-3"	"Male"	"M"	Suppressed	107485	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2012"	"2012"	"White"	"2106-3"	"Male"	"M"	Suppressed	107417	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2013"	"2013"	"White"	"2106-3"	"Male"	"M"	Suppressed	106790	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2014"	"2014"	"White"	"2106-3"	"Male"	"M"	Suppressed	104292	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2015"	"2015"	"White"	"2106-3"	"Male"	"M"	Suppressed	100588	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2016"	"2016"	"White"	"2106-3"	"Male"	"M"	Suppressed	96343	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2017"	"2017"	"White"	"2106-3"	"Male"	"M"	Suppressed	93552	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"2018"	"2018"	"White"	"2106-3"	"Male"	"M"	Suppressed	92551	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"1999"	"1999"	"White"	"2106-3"	"Male"	"M"	Suppressed	112477	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2000"	"2000"	"White"	"2106-3"	"Male"	"M"	Suppressed	113665	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2001"	"2001"	"White"	"2106-3"	"Male"	"M"	Suppressed	116028	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2002"	"2002"	"White"	"2106-3"	"Male"	"M"	Suppressed	118267	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2003"	"2003"	"White"	"2106-3"	"Male"	"M"	Suppressed	120043	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2004"	"2004"	"White"	"2106-3"	"Male"	"M"	Suppressed	120753	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2005"	"2005"	"White"	"2106-3"	"Male"	"M"	Suppressed	121885	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2006"	"2006"	"White"	"2106-3"	"Male"	"M"	Suppressed	123016	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2007"	"2007"	"White"	"2106-3"	"Male"	"M"	Suppressed	122855	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2008"	"2008"	"White"	"2106-3"	"Male"	"M"	Suppressed	122556	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	Suppressed	122967	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2010"	"2010"	"White"	"2106-3"	"Male"	"M"	Suppressed	121900	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2011"	"2011"	"White"	"2106-3"	"Male"	"M"	Suppressed	117399	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2012"	"2012"	"White"	"2106-3"	"Male"	"M"	Suppressed	113539	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2013"	"2013"	"White"	"2106-3"	"Male"	"M"	Suppressed	110236	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2014"	"2014"	"White"	"2106-3"	"Male"	"M"	Suppressed	107566	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2015"	"2015"	"White"	"2106-3"	"Male"	"M"	Suppressed	106334	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2016"	"2016"	"White"	"2106-3"	"Male"	"M"	Suppressed	107433	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2017"	"2017"	"White"	"2106-3"	"Male"	"M"	Suppressed	107229	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2018"	"2018"	"White"	"2106-3"	"Male"	"M"	Suppressed	105896	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"1999"	"1999"	"White"	"2106-3"	"Male"	"M"	Suppressed	105183	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2000"	"2000"	"White"	"2106-3"	"Male"	"M"	Suppressed	107891	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2001"	"2001"	"White"	"2106-3"	"Male"	"M"	Suppressed	112372	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2002"	"2002"	"White"	"2106-3"	"Male"	"M"	Suppressed	109962	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2003"	"2003"	"White"	"2106-3"	"Male"	"M"	Suppressed	109861	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2004"	"2004"	"White"	"2106-3"	"Male"	"M"	Suppressed	110707	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2005"	"2005"	"White"	"2106-3"	"Male"	"M"	Suppressed	112734	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2006"	"2006"	"White"	"2106-3"	"Male"	"M"	Suppressed	115100	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2007"	"2007"	"White"	"2106-3"	"Male"	"M"	Suppressed	117951	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2008"	"2008"	"White"	"2106-3"	"Male"	"M"	Suppressed	120067	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	Suppressed	121230	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2010"	"2010"	"White"	"2106-3"	"Male"	"M"	Suppressed	122178	Suppressed
